I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-1.092781925201416016e+01,-3.792310333251953125e+01,-6.964303588867187500e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-9.386699676513671875e+00,-3.781533432006835938e+01,-6.771122741699218750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-7.845579624176025391e+00,-3.770756912231445312e+01,-6.577941894531250000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-6.304459571838378906e+00,-3.759980392456054688e+01,-6.384760665893554688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-4.763339519500732422e+00,-3.749203872680664062e+01,-6.191579818725585938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.777361869812011719e+00,-3.744598388671875000e+01,-5.968511962890625000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.127714276313781738e-01,-3.758084106445312500e+01,-5.657826995849609375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.802904844284057617e+00,-3.771570205688476562e+01,-5.347142028808593750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.093038082122802734e+00,-3.785055923461914062e+01,-5.036457443237304688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.038317108154296875e+01,-3.798541641235351562e+01,-4.725772476196289062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.367330455780029297e+01,-3.812027740478515625e+01,-4.415087509155273438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.777769470214843750e+01,-3.852378463745117188e+01,-4.106378936767578125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.206003379821777344e+01,-3.898600006103515625e+01,-3.798102569580078125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.634237480163574219e+01,-3.944821929931640625e+01,-3.489825820922851562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.062471389770507812e+01,-3.991043853759765625e+01,-3.181549072265625000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.490705490112304688e+01,-4.037265777587890625e+01,-2.873272323608398438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.778203964233398438e+01,-4.081134796142578125e+01,-2.550808143615722656e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.842739105224609375e+01,-4.121276092529296875e+01,-2.205867004394531250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.907274246215820312e+01,-4.161417388916015625e+01,-1.860925674438476562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.971809768676757812e+01,-4.201558685302734375e+01,-1.515984535217285156e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.036344909667968750e+01,-4.241700363159179688e+01,-1.171043395996093750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.100880432128906250e+01,-4.281841659545898438e+01,-8.261021614074707031e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.185670852661132812e+01,-3.644172286987304688e+01,-5.308468341827392578e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.271454620361328125e+01,-2.973269271850585938e+01,-2.380276441574096680e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.357238388061523438e+01,-2.302366447448730469e+01,5.479155778884887695e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.443022155761718750e+01,-1.631463432312011719e+01,3.476107597351074219e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.528805923461914062e+01,-9.605605125427246094e+00,6.404299736022949219e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
4.922826004028320312e+01,-4.734986782073974609e+00,1.086850166320800781e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.601867675781250000e+01,-1.564321279525756836e+00,1.675303077697753906e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.280909729003906250e+01,1.606344223022460938e+00,2.263755989074707031e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
6.959951019287109375e+01,4.777009487152099609e+00,2.852208900451660156e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.638993072509765625e+01,7.947675228118896484e+00,3.440662002563476562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
